lambda_res,gamma,higher_dim_factor,lyapunov_exp,A_final,B_final
3.0,0.5,1.0,35.14372567737667,0.9349968435678636,0.2991630573668
3.0,0.30000000000000004,1.5,38.53703133260202,0.9566595886157577,0.46360948859107376
4.0,0.1,0.5,37.49729306555467,1.1249697633248439,0.8181799110625587
3.0,0.30000000000000004,1.0,35.346283622798495,0.719205468506387,0.21735480085838926
4.0,0.1,1.0,34.72638691164359,0.9377596879423313,0.6358099279462054
4.0,0.1,1.5,36.47173703188937,0.7937167454515862,0.48493194735165696
4.0,0.2,0.5,39.22916429729401,0.8028131598816322,0.35140023522470065
3.0,0.4,0.5,34.50745785395551,0.7993849650111884,0.21129449502594003
4.0,0.2,1.0,35.235835837853216,1.0392672967418792,0.5979572397361115
4.0,0.2,1.5,34.48959005687477,0.9833511567026387,0.5373422821815934
3.0,0.5,1.5,34.525944236498205,0.8379225503045741,0.18410488830573532
4.0,0.30000000000000004,1.0,36.29033169946929,1.1926968356539067,0.6493045716091673
4.0,0.30000000000000004,0.5,38.57497509866006,1.0259486935550859,0.46258510197241814
4.0,0.30000000000000004,1.5,37.50813178601831,0.864427349566664,0.30727354958426245
4.0,0.4,1.0,34.75802496195913,0.9253333029052044,0.2627679976731509
4.0,0.4,1.5,36.49681538624054,0.9080551407202156,0.24651274777339155
5.0,0.1,0.5,36.42994116808886,1.1760385453157627,0.8505458459028991
4.0,0.5,0.5,34.91785076504905,1.0376982687229166,0.3113179938562719
5.0,0.1,1.0,35.67721394615265,0.9839918082855608,0.6573502083239614
4.0,0.4,0.5,35.36208621937056,0.8772449744127268,0.21080229075655282
5.0,0.2,1.0,34.85972613919626,0.8055187067488863,0.3133262510632186
4.0,0.5,1.0,34.85785913350269,0.9204551844954829,0.1806569265079807
5.0,0.1,1.5,36.96571859904815,0.88380743716787,0.5552924380442479
4.0,0.5,1.5,35.97409190546397,0.9559630136076187,0.21660040714547096
5.0,0.2,1.5,33.797953825907186,0.9074942669390483,0.42287281206896127
5.0,0.30000000000000004,0.5,34.658159798606306,1.0312578055727333,0.40176462158190773
5.0,0.2,0.5,36.380986820946944,0.7200999994791322,0.22895823705072152
5.0,0.30000000000000004,1.0,35.38757523599519,1.1004330372951825,0.4834272765910192
5.0,0.4,0.5,36.34250890749459,1.108771357686945,0.37585955233053525
5.0,0.30000000000000004,1.5,34.97527163373886,0.9027320259501003,0.27511272289396915
5.0,0.4,1.0,36.15954666093746,0.9545735780697853,0.21181127485305437
5.0,0.5,0.5,36.92323658393979,1.0806049525926376,0.25690878319133204
5.0,0.4,1.5,35.62064389663797,1.0260135785857831,0.2931067398887436
5.0,0.5,1.5,36.90328011943766,0.8747608150722023,0.02889451816424652
5.0,0.5,1.0,37.17617180318883,1.3527154094732086,0.5514661842303576
