Time,Max Curvature,Min Curvature,Average Curvature,Flatness
0.335,0.517202461919113,-0.5226946259923373,0.23317665722137162,0.2005049092126224
0.34,0.5041094076699894,-0.5387296566310471,0.22639007600187583,0.19618694061435474
0.345,0.4908248048710899,-0.5545167632550628,0.21955336440673245,0.19189404147015268
0.35,0.4773757284097344,-0.5700390851156849,0.2126683596784641,0.18763010208076406
0.355,0.46407921945570174,-0.5852811937957295,0.20573690421785623,0.18339911326616426
0.36,0.45084435218716057,-0.60022911679569,0.1987608448709621,0.17920517252318255
0.365,0.4374903087188563,-0.614870355604006,0.19174203223696973,0.1750524903430077
0.37,0.424044480958732,-0.6291938982343226,0.1846823199977577,0.1709453965721418
0.375,0.41080484291736846,-0.6431902262333806,0.17758356426988436,0.16688834666457913
0.38,0.3975561198009989,-0.6568513161838425,0.17044762297965252,0.16288592763004203
0.385,0.3842896499517341,-0.6701706357468223,0.16327635526180106,0.15894286343217645
0.39,0.37102248159259954,-0.6831431343090827,0.15607162088227663,0.15506401953103593
0.395,0.35775640243565854,-0.6957652283197142,0.14883527968543758,0.15125440619554567
0.4,0.3447277356130518,-0.708034781420535,0.14156919106594995,0.14751918013406856
0.405,0.3317255731083378,-0.7199510794933907,0.1342752134655298,0.14386364390553114
0.41,0.3187664722241236,-0.7315148007658945,0.12695520389459464,0.14029324248177555
0.415,0.3058727588753628,-0.7427279811348948,0.11961101747878215,0.13681355623731634
0.42,0.2930658187391568,-0.7535939748839783,0.11224450703020745,0.13343028955093805
0.425,0.28036604168864676,-0.7641174109876072,0.1048575226432225,0.13014925412240405
0.43,0.26785335862701937,-0.7743041452099253,0.09745191131436078,0.12697634604772737
0.435,0.2554907863553534,-0.784161208220852,0.09002951658604963,0.12391751567184335
0.44,0.2432677775062992,-0.7936967499657126,0.08259217821358973,0.120978729265105
0.445,0.23120148181736422,-0.8029199805373265,0.07514173185481102,0.11816592166926518
0.45,0.2193078947853137,-0.8118411078110922,0.06768000878173713,0.11548493925009351
0.455,0.20760182493561447,-0.8204712721141901,0.060208835613503195,0.1129414727968879
0.46,0.19609686607440174,-0.8288224782094756,0.0527300340697057,0.1105409804385078
0.465,0.1848053745791231,-0.8369075248829656,0.04524542074328223,0.1082886012065732
0.47,0.17373845176418135,-0.8447399324309832,0.03775680689196006,0.10618906056006067
0.475,0.16294795119144037,-0.8523338683490015,0.03026599824724135,0.10424656996310531
0.48,0.15244630836141507,-0.8597040715289892,0.022774794839844317,0.10246472342773826
0.485,0.14220505436532607,-0.8668657752756228,0.015284990840455526,0.10084639472034786
0.49,0.1322287543423319,-0.8738346294540371,0.00779837441461174,0.0993936395902697
0.495,0.12252071000352377,-0.8806266220828854,0.0003167275904771575,0.09810760780702298
0.5,0.11308297787758427,-0.887258000686329,-0.0071581738617471375,0.0969884698911892
0.505,0.10399896735151554,-0.893745193717213,-0.01462456054008337,0.09603536311950082
0.51,0.09523838874220823,-0.900104732361095,-0.022080669512028885,0.09524636064777228
0.515,0.08674788068777775,-0.9063531730270095,-0.0295247444081455,0.09461846645365983
0.52,0.07854578617980293,-0.9125070208258854,-0.03695503550934665,0.09414763734410195
0.525,0.07060371121692807,-0.9185826543314078,-0.044369799829247915,0.0938288316418089
0.53,0.06297406768549876,-0.9245962519108698,-0.05176730119295462,0.09365608253580278
0.535,0.05565675812111773,-0.9305637199052069,-0.05914581031365103,0.09362259263084768
0.54,0.04857086409182585,-0.9365006229280165,-0.06650360486835358,0.09372084511122622
0.545,0.041706553179710545,-0.9424221165429368,-0.07383896957416887,0.09394272624641835
0.55,0.03505329898438274,-0.948342882567379,-0.08115019626638459,0.09427965374656465
0.555,0.028599946920730396,-0.9542770672382974,-0.08843558397968793,0.09472270569729527
0.56,0.02235490494214412,-0.9602382224625076,-0.0956934390337828,0.09526274538831904
0.565,0.01633665492036894,-0.966239250360065,-0.10292207512463326,0.0958905381880773
0.57,0.010466659674418732,-0.9722923512944938,-0.11011981342252757,0.09659685758768702
0.575,0.004731395244511938,-0.9784089755681944,-0.11728498267809942,0.09737257853001952
0.58,-0.0008828487414738739,-0.984599778945324,-0.12441591933740645,0.09820875706463104
0.585,-0.006389897366428851,-0.990874582147798,-0.1315109676670963,0.09909669616503124
0.59,-0.011803619231059964,-0.9972423344529638,-0.13856847989064192,0.10002799817851445
0.595,-0.01713785605854337,-1.0037110815039427,-0.14558681633655557,0.10099460484199026
0.6,-0.02240635338042632,-1.0102879374257658,-0.15256434559943177,0.10198882609971788
0.605,-0.027622692580947128,-1.0169790613222442,-0.15949944471458957,0.10300335912197435
0.61,-0.032800224569422304,-1.0237896382101643,-0.16639049934702016,0.1040312989745346
0.615,-0.03786335992296458,-1.0307238644288794,-0.17323590399526065,0.10506614235554657
0.62,-0.04289246122528259,-1.0377849375448394,-0.1800340622107422,0.1061017857250338
0.625,-0.04790479468653097,-1.044975050752036,-0.18678338683307374,0.10713251902512226
0.63,-0.05291260864522371,-1.0522953917509392,-0.19348230024164614,0.10815301604393789
0.635,-0.05792769900001979,-1.0597461460701971,-0.20012923462384938,0.1091583223262507
0.64,-0.06296135416412654,-1.0673265047773564,-0.20672263226011564,0.11014384138863187
0.645,-0.06801217333168333,-1.0750346765071561,-0.21326094582591312,0.1111053198620988
0.65,-0.07295396831482664,-1.0828679037185858,-0.21974263871072663,0.11203883206431536
0.655,-0.07793350987667386,-1.090822483075048,-0.22616618535397665,0.112940764397812
0.66,-0.08294837081412657,-1.0988937898255813,-0.2325300715977411,0.113807799880507
0.665,-0.08799885791333437,-1.1070763060493278,-0.2388327950560572,0.11463690303927149
0.67,-0.0931116615030744,-1.1153636526102977,-0.2450728655004993,0.11542530533510435
0.675,-0.0981011772373449,-1.1237486246550368,-0.25124880526163945,0.11617049123815454
0.68,-0.10314867676531561,-1.1322232304721422,-0.25735914964592194,0.11687018503073215
0.685,-0.10827074553477209,-1.1407787335197017,-0.26340244736739765,0.1175223383850439
